NAME,YEAR,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE,NPOPCHG,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston NY 2012,2012,Metropolitan Statistical Area,,,181708,-905,1639,1612,27,333,-1279,-946,14
Knoxville TN 2012,2012,Metropolitan Statistical Area,,,847817,5032,9443,8596,847,721,3468,4189,-4
Kokomo IN 2012,2012,Metropolitan Statistical Area,,,82973,85,988,898,90,76,-81,-5,0
La Crosse-Onalaska WI-MN 2012,2012,Metropolitan Statistical Area,,,135647,1409,1458,1122,336,143,925,1068,5
Lafayette LA 2012,2012,Metropolitan Statistical Area,,,474220,3543,6509,3841,2668,730,144,874,1
Lafayette-West Lafayette IN 2012,2012,Metropolitan Statistical Area,,,207110,2676,2582,1385,1197,1284,219,1503,-24
Lake Charles LA 2012,2012,Metropolitan Statistical Area,,,201276,684,2780,1856,924,237,-469,-232,-8
Lake Havasu City-Kingman AZ 2012,2012,Metropolitan Statistical Area,,,203174,532,1869,2577,-708,-6,1228,1222,18
Lakeland-Winter Haven FL 2012,2012,Metropolitan Statistical Area,,,615764,6068,7250,5832,1418,2626,2035,4661,-11
Lancaster PA 2012,2012,Metropolitan Statistical Area,,,526766,3096,7053,4531,2522,1176,-561,615,-41
Lansing-East Lansing MI 2012,2012,Metropolitan Statistical Area,,,466666,686,5151,3391,1760,1964,-3093,-1129,55
Laredo TX 2012,2012,Metropolitan Statistical Area,,,259986,4368,5437,1253,4184,601,-408,193,-9
Las Cruces NM 2012,2012,Metropolitan Statistical Area,,,214208,1318,3066,1490,1576,155,-409,-254,-4
Las Vegas-Henderson-Paradise NV 2012,2012,Metropolitan Statistical Area,,,1998646,31487,26101,13795,12306,6848,12258,19106,75
Lawrence KS 2012,2012,Metropolitan Statistical Area,,,113339,848,1265,593,672,580,-399,181,-5
Lawton OK 2012,2012,Metropolitan Statistical Area,,,132758,491,2072,1051,1021,898,-1436,-538,8
Lebanon PA 2012,2012,Metropolitan Statistical Area,,,135582,1038,1608,1391,217,427,414,841,-20
Lewiston ID-WA 2012,2012,Metropolitan Statistical Area,,,61450,108,708,741,-33,32,110,142,-1
Lewiston-Auburn ME 2012,2012,Metropolitan Statistical Area,,,107506,153,1317,1021,296,110,-257,-147,4
Lexington-Fayette KY 2012,2012,Metropolitan Statistical Area,,,484616,6157,6260,3509,2751,1155,2213,3368,38
Lima OH 2012,2012,Metropolitan Statistical Area,,,105283,-624,1225,1071,154,60,-857,-797,19
Lincoln NE 2012,2012,Metropolitan Statistical Area,,,310434,3761,4221,2070,2151,837,790,1627,-17
Little Rock-North Little Rock-Conway AR 2012,2012,Metropolitan Statistical Area,,,717703,6944,9834,6080,3754,1106,2082,3188,2
Logan UT-ID 2012,2012,Metropolitan Statistical Area,,,128769,1121,2538,571,1967,306,-1159,-853,7
Longview TX 2012,2012,Metropolitan Statistical Area,,,218591,2623,3087,2145,942,235,1387,1622,59
Longview WA 2012,2012,Metropolitan Statistical Area,,,101777,-552,1208,1047,161,20,-738,-718,5
Los Angeles-Long Beach-Anaheim CA 2012,2012,Metropolitan Statistical Area,,,13064761,110236,166999,75858,91141,58842,-38512,20330,-1235
Anaheim-Santa Ana-Irvine CA 2012,2012,Metropolitan Division,,,3089893,33582,37842,17821,20021,11880,1931,13811,-250
Los Angeles-Long Beach-Glendale CA 2012,2012,Metropolitan Division,,,9974868,76654,129157,58037,71120,46962,-40443,6519,-985
Louisville/Jefferson County KY-IN 2012,2012,Metropolitan Statistical Area,,,1251870,6932,15615,11513,4102,2139,706,2845,-15
Lubbock TX 2012,2012,Metropolitan Statistical Area,,,297972,2606,4005,2323,1682,410,524,934,-10
Lynchburg VA 2012,2012,Metropolitan Statistical Area,,,255534,1448,2735,2474,261,358,840,1198,-11
Macon GA 2012,2012,Metropolitan Statistical Area,,,232840,-11,3188,2226,962,182,-1148,-966,-7
Madera CA 2012,2012,Metropolitan Statistical Area,,,152244,96,2376,1041,1335,153,-1427,-1274,35
Madison WI 2012,2012,Metropolitan Statistical Area,,,620401,6628,7340,3971,3369,1533,1704,3237,22
Manchester-Nashua NH 2012,2012,Metropolitan Statistical Area,,,402600,884,4309,2972,1337,941,-1405,-464,11
Manhattan KS 2012,2012,Metropolitan Statistical Area,,,98648,3224,1499,486,1013,1247,926,2173,38
Mankato-North Mankato MN 2012,2012,Metropolitan Statistical Area,,,97936,660,1145,665,480,107,81,188,-8
Mansfield OH 2012,2012,Metropolitan Statistical Area,,,122588,-482,1420,1323,97,22,-616,-594,15
McAllen-Edinburg-Mission TX 2012,2012,Metropolitan Statistical Area,,,807725,12422,16139,3697,12442,1556,-1559,-3,-17
Medford OR 2012,2012,Metropolitan Statistical Area,,,206363,1609,2254,2210,44,48,1547,1595,-30
Memphis TN-MS-AR 2012,2012,Metropolitan Statistical Area,,,1340755,7965,19258,10727,8531,1700,-2157,-457,-109
Merced CA 2012,2012,Metropolitan Statistical Area,,,261783,2085,4303,1570,2733,470,-1130,-660,12
Miami-Fort Lauderdale-West Palm Beach FL 2012,2012,Metropolitan Statistical Area,,,5789346,82454,66330,45443,20887,57539,3580,61119,448
Fort Lauderdale-Pompano Beach-Deerfield Beach FL 2012,2012,Metropolitan Division,,,1819773,31406,21165,14222,6943,14347,9905,24252,211
Miami-Miami Beach-Kendall FL 2012,2012,Metropolitan Division,,,2610960,31044,31134,18157,12977,35830,-17993,17837,230
West Palm Beach-Boca Raton-Delray Beach FL 2012,2012,Metropolitan Division,,,1358613,20004,14031,13064,967,7362,11668,19030,7
Michigan City-La Porte IN 2012,2012,Metropolitan Statistical Area,,,111158,-29,1301,1156,145,12,-183,-171,-3
Midland MI 2012,2012,Metropolitan Statistical Area,,,83649,-116,863,696,167,131,-422,-291,8
Midland TX 2012,2012,Metropolitan Statistical Area,,,152092,7096,2492,1018,1474,97,5387,5484,138
Milwaukee-Waukesha-West Allis WI 2012,2012,Metropolitan Statistical Area,,,1566755,5614,20184,12898,7286,2265,-3827,-1562,-110
Minneapolis-St. Paul-Bloomington MN-WI 2012,2012,Metropolitan Statistical Area,,,3423070,33921,44826,20810,24016,10619,-519,10100,-195
Missoula MT 2012,2012,Metropolitan Statistical Area,,,111054,933,1214,760,454,103,380,483,-4
Mobile AL 2012,2012,Metropolitan Statistical Area,,,413955,801,5676,4053,1623,698,-1526,-828,6
Modesto CA 2012,2012,Metropolitan Statistical Area,,,522134,3864,7697,3808,3889,1162,-1178,-16,-9
Monroe LA 2012,2012,Metropolitan Statistical Area,,,177885,495,2634,1671,963,163,-638,-475,7
Monroe MI 2012,2012,Metropolitan Statistical Area,,,150840,-659,1536,1387,149,66,-897,-831,23
Montgomery AL 2012,2012,Metropolitan Statistical Area,,,375874,-2086,4843,3290,1553,575,-4319,-3744,105
Morgantown WV 2012,2012,Metropolitan Statistical Area,,,134441,2127,1408,984,424,321,1349,1670,33
Morristown TN 2012,2012,Metropolitan Statistical Area,,,115042,242,1298,1239,59,70,108,178,5
Mount Vernon-Anacortes WA 2012,2012,Metropolitan Statistical Area,,,118005,265,1445,1105,340,102,-165,-63,-12
Muncie IN 2012,2012,Metropolitan Statistical Area,,,117309,-488,1222,1233,-11,122,-608,-486,9
Muskegon MI 2012,2012,Metropolitan Statistical Area,,,170146,160,2145,1665,480,81,-403,-322,2
Myrtle Beach-Conway-North Myrtle Beach SC-NC 2012,2012,Metropolitan Statistical Area,,,394128,8423,4096,3973,123,397,7888,8285,15
Napa CA 2012,2012,Metropolitan Statistical Area,,,139135,1079,1531,1135,396,439,255,694,-11
Naples-Immokalee-Marco Island FL 2012,2012,Metropolitan Statistical Area,,,332873,4970,3193,2970,223,1966,2868,4834,-87
Nashville-Davidson--Murfreesboro--Franklin TN 2012,2012,Metropolitan Statistical Area,,,1727153,28865,22674,12932,9742,3667,15229,18896,227
New Bern NC 2012,2012,Metropolitan Statistical Area,,,128630,389,1815,1209,606,761,-976,-215,-2
New Haven-Milford CT 2012,2012,Metropolitan Statistical Area,,,864031,-18,9044,7576,1468,3555,-5024,-1469,-17
New Orleans-Metairie LA 2012,2012,Metropolitan Statistical Area,,,1228375,14140,15411,10353,5058,3195,5709,8904,178
New York-Newark-Jersey City NY-NJ-PA 2012,2012,Metropolitan Statistical Area,,,19874606,118478,250731,137154,113577,134649,-127828,6821,-1920
Dutchess County-Putnam County NY 2012,2012,Metropolitan Division,,,396997,-1199,3503,2998,505,1033,-2754,-1721,17
Nassau County-Suffolk County NY 2012,2012,Metropolitan Division,,,2851345,3708,30229,22193,8036,8494,-12894,-4400,72
Newark NJ-PA 2012,2012,Metropolitan Division,,,2490087,6767,28159,18023,10136,13277,-16568,-3291,-78
New York-Jersey City-White Plains NY-NJ 2012,2012,Metropolitan Division,,,14136177,109202,188840,93940,94900,111845,-95612,16233,-1931
Niles-Benton Harbor MI 2012,2012,Metropolitan Statistical Area,,,156057,-487,1819,1675,144,306,-947,-641,10
North Port-Sarasota-Bradenton FL 2012,2012,Metropolitan Statistical Area,,,720121,11150,6410,8514,-2104,1741,11474,13215,39
Norwich-New London CT 2012,2012,Metropolitan Statistical Area,,,274544,488,2869,2317,552,1438,-1514,-76,12
Ocala FL 2012,2012,Metropolitan Statistical Area,,,334495,1988,3393,4426,-1033,602,2378,2980,41
Ocean City NJ 2012,2012,Metropolitan Statistical Area,,,96398,-164,975,1193,-218,229,-171,58,-4
Odessa TX 2012,2012,Metropolitan Statistical Area,,,144444,4754,2589,1108,1481,32,3174,3206,67
Ogden-Clearfield UT 2012,2012,Metropolitan Statistical Area,,,612629,6751,10692,3436,7256,805,-1296,-491,-14
Oklahoma City OK 2012,2012,Metropolitan Statistical Area,,,1297886,21028,18634,10737,7897,2796,10151,12947,184
Olympia-Tumwater WA 2012,2012,Metropolitan Statistical Area,,,258713,2232,3126,1928,1198,787,274,1061,-27
Omaha-Council Bluffs NE-IA 2012,2012,Metropolitan Statistical Area,,,885707,8728,13150,6264,6886,1984,-103,1881,-39
Orlando-Kissimmee-Sanford FL 2012,2012,Metropolitan Statistical Area,,,2225901,49813,26830,14698,12132,14901,22449,37350,331
Oshkosh-Neenah WI 2012,2012,Metropolitan Statistical Area,,,168634,1076,1925,1425,500,72,504,576,0
Owensboro KY 2012,2012,Metropolitan Statistical Area,,,115918,557,1581,1139,442,38,87,125,-10
Oxnard-Thousand Oaks-Ventura CA 2012,2012,Metropolitan Statistical Area,,,835476,4503,10528,5006,5522,1663,-2725,-1062,43
Palm Bay-Melbourne-Titusville FL 2012,2012,Metropolitan Statistical Area,,,547669,3238,5121,6114,-993,1193,3132,4325,-94
Panama City FL 2012,2012,Metropolitan Statistical Area,,,187664,2294,2417,1742,675,442,1169,1611,8
Parkersburg-Vienna WV 2012,2012,Metropolitan Statistical Area,,,92367,-220,942,1063,-121,15,-111,-96,-3
Pensacola-Ferry Pass-Brent FL 2012,2012,Metropolitan Statistical Area,,,462612,7273,5786,4319,1467,1806,3973,5779,27
Peoria IL 2012,2012,Metropolitan Statistical Area,,,380450,773,4822,3769,1053,396,-636,-240,-40
Philadelphia-Camden-Wilmington PA-NJ-DE-MD 2012,2012,Metropolitan Statistical Area,,,6020925,23842,72991,51741,21250,18504,-15555,2949,-357
Camden NJ 2012,2012,Metropolitan Division,,,1253982,827,14084,10254,3830,2991,-6051,-3060,57
Montgomery County-Bucks County-Chester County PA 2012,2012,Metropolitan Division,,,1942124,6642,20261,16054,4207,4143,-1675,2468,-33
Philadelphia PA 2012,2012,Metropolitan Division,,,2111312,12871,29996,19690,10306,9676,-6787,2889,-324
Wilmington DE-MD-NJ 2012,2012,Metropolitan Division,,,713507,3502,8650,5743,2907,1694,-1042,652,-57
Phoenix-Mesa-Scottsdale AZ 2012,2012,Metropolitan Statistical Area,,,4330974,76825,58823,28509,30314,9451,37097,46548,-37
Pine Bluff AR 2012,2012,Metropolitan Statistical Area,,,97344,-1657,1138,1044,94,4,-1788,-1784,33
Pittsburgh PA 2012,2012,Metropolitan Statistical Area,,,2361068,1388,23775,26819,-3044,2977,1596,4573,-141
Pittsfield MA 2012,2012,Metropolitan Statistical Area,,,130230,-345,1184,1405,-221,182,-307,-125,1
Pocatello ID 2012,2012,Metropolitan Statistical Area,,,83741,179,1288,658,630,74,-524,-450,-1
Portland-South Portland ME 2012,2012,Metropolitan Statistical Area,,,518219,2224,4940,4390,550,772,968,1740,-66
Portland-Vancouver-Hillsboro OR-WA 2012,2012,Metropolitan Statistical Area,,,2288729,28551,27541,15763,11778,4939,11765,16704,69
Port St. Lucie FL 2012,2012,Metropolitan Statistical Area,,,432405,4031,4181,4498,-317,903,3502,4405,-57
Prescott AZ 2012,2012,Metropolitan Statistical Area,,,212509,1324,1735,2600,-865,137,2084,2221,-32
Providence-Warwick RI-MA 2012,2012,Metropolitan Statistical Area,,,1603402,2257,16807,14231,2576,5051,-5361,-310,-9
Provo-Orem UT 2012,2012,Metropolitan Statistical Area,,,549930,9534,11726,2175,9551,784,-745,39,-56
Pueblo CO 2012,2012,Metropolitan Statistical Area,,,160840,627,1876,1582,294,77,252,329,4
Punta Gorda FL 2012,2012,Metropolitan Statistical Area,,,162792,3179,999,2189,-1190,243,4080,4323,46
Racine WI 2012,2012,Metropolitan Statistical Area,,,194683,-296,2425,1701,724,140,-1173,-1033,13
Raleigh NC 2012,2012,Metropolitan Statistical Area,,,1189075,25872,15157,6268,8889,3837,13008,16845,138
Rapid City SD 2012,2012,Metropolitan Statistical Area,,,138791,2437,1924,1024,900,279,1264,1543,-6
Reading PA 2012,2012,Metropolitan Statistical Area,,,413252,672,4878,3662,1216,1183,-1734,-551,7
Redding CA 2012,2012,Metropolitan Statistical Area,,,178421,471,2058,2067,-9,202,307,509,-29
Reno NV 2012,2012,Metropolitan Statistical Area,,,433001,4143,5227,3398,1829,703,1630,2333,-19
Richmond VA 2012,2012,Metropolitan Statistical Area,,,1233722,14130,14763,9632,5131,3717,5257,8974,25
Riverside-San Bernardino-Ontario CA 2012,2012,Metropolitan Statistical Area,,,4348670,46311,60257,26720,33537,8363,4552,12915,-141
Roanoke VA 2012,2012,Metropolitan Statistical Area,,,310710,1320,3337,3282,55,651,616,1267,-2
Rochester MN 2012,2012,Metropolitan Statistical Area,,,209709,1153,2815,1465,1350,603,-799,-196,-1
Rochester NY 2012,2012,Metropolitan Statistical Area,,,1083059,790,11640,9574,2066,2900,-4229,-1329,53
Rockford IL 2012,2012,Metropolitan Statistical Area,,,345803,-2087,4188,3008,1180,326,-3631,-3305,38
Rocky Mount NC 2012,2012,Metropolitan Statistical Area,,,151034,-811,1786,1554,232,46,-1112,-1066,23
Rome GA 2012,2012,Metropolitan Statistical Area,,,96066,-116,1127,1006,121,98,-338,-240,3
Sacramento--Roseville--Arden-Arcade CA 2012,2012,Metropolitan Statistical Area,,,2195087,19360,27151,15879,11272,6691,1607,8298,-210
Saginaw MI 2012,2012,Metropolitan Statistical Area,,,198268,-547,2372,2000,372,158,-1097,-939,20
St. Cloud MN 2012,2012,Metropolitan Statistical Area,,,190513,441,2432,1315,1117,238,-916,-678,2
St. George UT 2012,2012,Metropolitan Statistical Area,,,144643,3141,2163,1066,1097,60,2011,2071,-27
St. Joseph MO-KS 2012,2012,Metropolitan Statistical Area,,,127950,203,1614,1352,262,164,-212,-48,-11
St. Louis MO-IL 2012,2012,Metropolitan Statistical Area,,,2797281,3556,34279,24448,9831,4319,-10541,-6222,-53
Salem OR 2012,2012,Metropolitan Statistical Area,,,396339,2476,5235,3207,2028,387,101,488,-40
Salinas CA 2012,2012,Metropolitan Statistical Area,,,426411,5018,6808,2356,4452,1133,-499,634,-68
Salisbury MD-DE 2012,2012,Metropolitan Statistical Area,,,381407,3296,4190,3786,404,880,2020,2900,-8
Salt Lake City UT 2012,2012,Metropolitan Statistical Area,,,1124222,16588,18693,6317,12376,2875,1389,4264,-52
San Angelo TX 2012,2012,Metropolitan Statistical Area,,,115097,1668,1552,1010,542,317,802,1119,7
San Antonio-New Braunfels TX 2012,2012,Metropolitan Statistical Area,,,2237771,43540,30981,14778,16203,5589,21437,27026,311
San Diego-Carlsbad CA 2012,2012,Metropolitan Statistical Area,,,3183413,41645,43840,19887,23953,17028,769,17797,-105
San Francisco-Oakland-Hayward CA 2012,2012,Metropolitan Statistical Area,,,4462179,61997,51039,28297,22742,25916,13293,39209,46
Oakland-Hayward-Berkeley CA 2012,2012,Metropolitan Division,,,2635607,36502,30916,16194,14722,13946,7850,21796,-16
San Francisco-Redwood City-South San Francisco CA 2012,2012,Metropolitan Division,,,1570429,24765,17797,10230,7567,11139,5990,17129,69
San Rafael CA 2012,2012,Metropolitan Division,,,256143,730,2326,1873,453,831,-547,284,-7
San Jose-Sunnyvale-Santa Clara CA 2012,2012,Metropolitan Statistical Area,,,1897969,27690,24132,9600,14532,15764,-2299,13465,-307
San Luis Obispo-Paso Robles-Arroyo Grande CA 2012,2012,Metropolitan Statistical Area,,,274528,3363,2625,2263,362,205,2765,2970,31
Santa Cruz-Watsonville CA 2012,2012,Metropolitan Statistical Area,,,266632,1709,3162,1687,1475,343,-91,252,-18
Santa Fe NM 2012,2012,Metropolitan Statistical Area,,,146385,938,1373,1056,317,362,271,633,-12
Santa Maria-Santa Barbara CA 2012,2012,Metropolitan Statistical Area,,,430728,4754,5639,2862,2777,1283,699,1982,-5
Santa Rosa CA 2012,2012,Metropolitan Statistical Area,,,490838,3116,5045,3852,1193,589,1391,1980,-57
Savannah GA 2012,2012,Metropolitan Statistical Area,,,362293,6380,5223,2684,2539,1162,2616,3778,63
Scranton--Wilkes-Barre--Hazleton PA 2012,2012,Metropolitan Statistical Area,,,564134,221,5698,6789,-1091,1072,280,1352,-40
Seattle-Tacoma-Bellevue WA 2012,2012,Metropolitan Statistical Area,,,3553831,55811,44831,22384,22447,18404,14795,33199,165
Seattle-Bellevue-Everett WA 2012,2012,Metropolitan Division,,,2741468,46934,33387,16660,16727,15370,14586,29956,251
Tacoma-Lakewood WA 2012,2012,Metropolitan Division,,,812363,8877,11444,5724,5720,3034,209,3243,-86
Sebastian-Vero Beach FL 2012,2012,Metropolitan Statistical Area,,,140608,1635,1246,1714,-468,219,1915,2134,-31
Sebring FL 2012,2012,Metropolitan Statistical Area,,,98087,-273,901,1445,-544,214,60,274,-3
Sheboygan WI 2012,2012,Metropolitan Statistical Area,,,114952,-360,1250,1061,189,84,-645,-561,12
Sherman-Denison TX 2012,2012,Metropolitan Statistical Area,,,121631,348,1436,1347,89,125,140,265,-6
Shreveport-Bossier City LA 2012,2012,Metropolitan Statistical Area,,,448379,3358,6632,4319,2313,673,317,990,55
Sierra Vista-Douglas AZ 2012,2012,Metropolitan Statistical Area,,,131919,-1139,1690,1215,475,488,-2121,-1633,19
Sioux City IA-NE-SD 2012,2012,Metropolitan Statistical Area,,,168796,-144,2462,1513,949,268,-1383,-1115,22
Sioux Falls SD 2012,2012,Metropolitan Statistical Area,,,237748,5098,3780,1679,2101,719,2254,2973,24
South Bend-Mishawaka IN-MI 2012,2012,Metropolitan Statistical Area,,,318625,-597,3973,3022,951,482,-2061,-1579,31
Spartanburg SC 2012,2012,Metropolitan Statistical Area,,,316643,1896,3873,3142,731,176,1009,1185,-20
Spokane-Spokane Valley WA 2012,2012,Metropolitan Statistical Area,,,532312,2475,6382,4555,1827,827,-131,696,-48
Springfield IL 2012,2012,Metropolitan Statistical Area,,,211956,322,2465,1976,489,195,-346,-151,-16
Springfield MA 2012,2012,Metropolitan Statistical Area,,,626890,815,6546,5355,1191,3441,-3836,-395,19
Springfield MO 2012,2012,Metropolitan Statistical Area,,,444681,4316,5537,3868,1669,305,2344,2649,-2
Springfield OH 2012,2012,Metropolitan Statistical Area,,,137194,-544,1597,1697,-100,71,-526,-455,11
State College PA 2012,2012,Metropolitan Statistical Area,,,155582,735,1313,925,388,811,-475,336,11
Staunton-Waynesboro VA 2012,2012,Metropolitan Statistical Area,,,118629,-275,1261,1263,-2,49,-315,-266,-7
Stockton-Lodi CA 2012,2012,Metropolitan Statistical Area,,,701635,6156,10084,4974,5110,1521,-447,1074,-28
Sumter SC 2012,2012,Metropolitan Statistical Area,,,108060,710,1568,980,588,236,-103,133,-11
Syracuse NY 2012,2012,Metropolitan Statistical Area,,,661256,-1353,7487,5731,1756,1668,-4832,-3164,55
Tallahassee FL 2012,2012,Metropolitan Statistical Area,,,375523,4367,4005,2518,1487,768,1984,2752,128
Tampa-St. Petersburg-Clearwater FL 2012,2012,Metropolitan Statistical Area,,,2848003,18899,30869,28177,2692,10645,5472,16117,90
Terre Haute IN 2012,2012,Metropolitan Statistical Area,,,172626,45,1978,1822,156,190,-289,-99,-12
Texarkana TX-AR 2012,2012,Metropolitan Statistical Area,,,149610,49,1961,1515,446,36,-427,-391,-6
The Villages FL 2012,2012,Metropolitan Statistical Area,,,102823,4225,437,1301,-864,69,5172,5241,-152
Toledo OH 2012,2012,Metropolitan Statistical Area,,,608551,-1045,7499,5656,1843,699,-3670,-2971,83
Topeka KS 2012,2012,Metropolitan Statistical Area,,,234444,-227,2989,2300,689,162,-1093,-931,15
Trenton NJ 2012,2012,Metropolitan Statistical Area,,,369057,1116,4239,2798,1441,2353,-2679,-326,1
Tucson AZ 2012,2012,Metropolitan Statistical Area,,,993094,4969,11821,8711,3110,2266,-266,2000,-141
Tulsa OK 2012,2012,Metropolitan Statistical Area,,,952836,6909,13337,8631,4706,1055,1190,2245,-42
Tuscaloosa AL 2012,2012,Metropolitan Statistical Area,,,233377,1977,2875,1980,895,233,838,1071,11
Tyler TX 2012,2012,Metropolitan Statistical Area,,,214941,2176,2976,1947,1029,210,954,1164,-17
Urban Honolulu HI 2012,2012,Metropolitan Statistical Area,,,976746,10187,13511,7125,6386,7802,-3901,3901,-100
Utica-Rome NY 2012,2012,Metropolitan Statistical Area,,,298553,-293,3337,3099,238,723,-1275,-552,21
Valdosta GA 2012,2012,Metropolitan Statistical Area,,,144614,2200,2082,995,1087,353,709,1062,51
Vallejo-Fairfield CA 2012,2012,Metropolitan Statistical Area,,,420724,3779,5068,2919,2149,1732,-70,1662,-32
Victoria TX 2012,2012,Metropolitan Statistical Area,,,96614,1964,1347,882,465,80,1394,1474,25
Vineland-Bridgeton NJ 2012,2012,Metropolitan Statistical Area,,,157794,187,2198,1407,791,467,-1059,-592,-12
Virginia Beach-Norfolk-Newport News VA-NC 2012,2012,Metropolitan Statistical Area,,,1698391,11409,22834,12685,10149,7610,-6378,1232,28
Visalia-Porterville CA 2012,2012,Metropolitan Statistical Area,,,451499,3675,8021,2793,5228,295,-1850,-1555,2
Waco TX 2012,2012,Metropolitan Statistical Area,,,257111,1382,3649,2156,1493,265,-359,-94,-17
Walla Walla WA 2012,2012,Metropolitan Statistical Area,,,63459,-86,711,567,144,63,-303,-240,10
Warner Robins GA 2012,2012,Metropolitan Statistical Area,,,185390,1801,2515,1310,1205,483,119,602,-6
Washington-Arlington-Alexandria DC-VA-MD-WV 2012,2012,Metropolitan Statistical Area,,,5873480,95759,80183,30918,49265,41334,5418,46752,-258
Silver Spring-Frederick-Rockville MD 2012,2012,Metropolitan Division,,,1246215,16139,15756,7237,8519,10239,-2498,7741,-121
Washington-Arlington-Alexandria DC-VA-MD-WV 2012,2012,Metropolitan Division,,,4627265,79620,64427,23681,40746,31095,7916,39011,-137
Waterloo-Cedar Falls IA 2012,2012,Metropolitan Statistical Area,,,168547,297,2051,1486,565,176,-428,-252,-16
Watertown-Fort Drum NY 2012,2012,Metropolitan Statistical Area,,,120916,2643,2201,878,1323,1269,48,1317,3
Wausau WI 2012,2012,Metropolitan Statistical Area,,,134689,158,1625,1139,486,107,-443,-336,8
Weirton-Steubenville WV-OH 2012,2012,Metropolitan Statistical Area,,,122466,-858,1096,1756,-660,3,-189,-186,-12
Wenatchee WA 2012,2012,Metropolitan Statistical Area,,,112995,904,1455,953,502,77,330,407,-5
Wheeling WV-OH 2012,2012,Metropolitan Statistical Area,,,146364,-711,1455,1945,-490,39,-250,-211,-10
Wichita KS 2012,2012,Metropolitan Statistical Area,,,635942,2676,9260,5375,3885,1007,-2212,-1205,-4
Wichita Falls TX 2012,2012,Metropolitan Statistical Area,,,150986,654,1927,1484,443,659,-439,220,-9
Williamsport PA 2012,2012,Metropolitan Statistical Area,,,117296,627,1305,1211,94,70,458,528,5
Wilmington NC 2012,2012,Metropolitan Statistical Area,,,263101,3767,2855,2128,727,277,2728,3005,35
Winchester VA-WV 2012,2012,Metropolitan Statistical Area,,,131017,970,1485,1082,403,111,475,586,-19
Winston-Salem NC 2012,2012,Metropolitan Statistical Area,,,647687,3036,7507,5886,1621,826,612,1438,-23
Worcester MA-CT 2012,2012,Metropolitan Statistical Area,,,924072,1848,9907,7478,2429,3551,-4141,-590,9
Yakima WA 2012,2012,Metropolitan Statistical Area,,,246721,562,4110,1816,2294,73,-1833,-1760,28
York-Hanover PA 2012,2012,Metropolitan Statistical Area,,,437699,831,4901,3679,1222,596,-985,-389,-2
Youngstown-Warren-Boardman OH-PA 2012,2012,Metropolitan Statistical Area,,,558973,-3514,5457,6944,-1487,258,-2332,-2074,47
Yuba City CA 2012,2012,Metropolitan Statistical Area,,,167614,264,2536,1265,1271,682,-1720,-1038,31
Yuma AZ 2012,2012,Metropolitan Statistical Area,,,202264,-353,3235,1436,1799,586,-2795,-2209,57
Abilene TX 2013,2013,Metropolitan Statistical Area,,,167452,-77,2359,1642,717,336,-1161,-825,31
Akron OH 2013,2013,Metropolitan Statistical Area,,,703210,1007,7666,6862,804,1130,-966,164,39
Albany GA 2013,2013,Metropolitan Statistical Area,,,155790,-1565,2163,1481,682,101,-2310,-2209,-38
Albany OR 2013,2013,Metropolitan Statistical Area,,,118644,284,1425,1121,304,42,-100,-58,38
Albany-Schenectady-Troy NY 2013,2013,Metropolitan Statistical Area,,,878479,3209,9195,7551,1644,2485,-769,1716,-151
Albuquerque NM 2013,2013,Metropolitan Statistical Area,,,903345,2329,10775,7080,3695,1153,-2809,-1656,290
Alexandria LA 2013,2013,Metropolitan Statistical Area,,,154903,416,2039,1650,389,165,-121,44,-17
Allentown-Bethlehem-Easton PA-NJ 2013,2013,Metropolitan Statistical Area,,,827044,-65,8496,7708,788,2427,-3532,-1105,252
Altoona PA 2013,2013,Metropolitan Statistical Area,,,126379,-620,1325,1643,-318,37,-392,-355,53
Amarillo TX 2013,2013,Metropolitan Statistical Area,,,258833,1078,3908,2271,1637,676,-1306,-630,71
Ames IA 2013,2013,Metropolitan Statistical Area,,,93410,1689,963,452,511,694,510,1204,-26
Anchorage AK 2013,2013,Metropolitan Statistical Area,,,397521,5090,6029,2216,3813,1348,93,1441,-164
Ann Arbor MI 2013,2013,Metropolitan Statistical Area,,,354418,3117,3664,2064,1600,2119,-635,1484,33
Anniston-Oxford-Jacksonville AL 2013,2013,Metropolitan Statistical Area,,,116547,-717,1327,1418,-91,33,-643,-610,-16
Appleton WI 2013,2013,Metropolitan Statistical Area,,,229869,1288,2785,1542,1243,192,-222,-30,75
Asheville NC 2013,2013,Metropolitan Statistical Area,,,437661,5519,4436,4735,-299,401,5151,5552,266
Athens-Clarke County GA 2013,2013,Metropolitan Statistical Area,,,197884,1479,2215,1356,859,480,139,619,1
Atlanta-Sandy Springs-Roswell GA 2013,2013,Metropolitan Statistical Area,,,5525432,68960,71753,34204,37549,18664,12061,30725,686
